2210,2106,OFFICE,"",1900-02-01 00:00:00,2099-02-01 00:00:00
2212,2107,OFFICE,"",1900-02-01 00:00:00,2099-02-01 00:00:00
2214,2108,OFFICE,"",1900-02-01 00:00:00,2099-02-01 00:00:00
2216,2109,OFFICE,"",1900-02-01 00:00:00,2099-02-01 00:00:00
2218,2110,OFFICE,"",1900-02-01 00:00:00,2099-02-01 00:00:00
2220,2111,OFFICE,"",1900-02-01 00:00:00,2099-02-01 00:00:00
2222,2112,OFFICE,"",1900-02-01 00:00:00,2099-02-01 00:00:00
2224,2113,OFFICE,"",1900-02-01 00:00:00,2099-02-01 00:00:00
2226,2114,OFFICE,"",1900-02-01 00:00:00,2099-02-01 00:00:00
2228,2115,OFFICE,"",1900-02-01 00:00:00,2099-02-01 00:00:00
2230,2116,OFFICE,"",1900-02-01 00:00:00,2099-02-01 00:00:00
2232,2117,OFFICE,"",1900-02-01 00:00:00,2099-02-01 00:00:00
2234,2118,OFFICE,"",1900-02-01 00:00:00,2099-02-01 00:00:00
2236,2119,OFFICE,"",1900-02-01 00:00:00,2099-02-01 00:00:00
2238,2120,OFFICE,"",1900-02-01 00:00:00,2099-02-01 00:00:00
2240,2121,OFFICE,"",1900-02-01 00:00:00,2099-02-01 00:00:00
2242,2122,OFFICE,"",1900-02-01 00:00:00,2099-02-01 00:00:00
2244,2123,OFFICE,"",1900-02-01 00:00:00,2099-02-01 00:00:00
2246,2124,OFFICE,"",1900-02-01 00:00:00,2099-02-01 00:00:00
2248,2125,OFFICE,"",1900-02-01 00:00:00,2099-02-01 00:00:00
2250,2126,OFFICE,"",1900-02-01 00:00:00,2099-02-01 00:00:00
2252,2127,OFFICE,"",1900-02-01 00:00:00,2099-02-01 00:00:00
2254,2128,OFFICE,"",1900-02-01 00:00:00,2099-02-01 00:00:00
2256,2129,OFFICE,"",1900-02-01 00:00:00,2099-02-01 00:00:00
2258,2130,OFFICE,"",1900-02-01 00:00:00,2099-02-01 00:00:00
2260,2131,OFFICE,"",1900-02-01 00:00:00,2099-02-01 00:00:00
2262,2132,OFFICE,"",1900-02-01 00:00:00,2099-02-01 00:00:00
2264,2133,OFFICE,"",1900-02-01 00:00:00,2099-02-01 00:00:00
2266,2134,OFFICE,"",1900-02-01 00:00:00,2099-02-01 00:00:00
2268,2135,OFFICE,"",1900-02-01 00:00:00,2099-02-01 00:00:00
2270,2136,OFFICE,"",1900-02-01 00:00:00,2099-02-01 00:00:00
2272,2137,OFFICE,"",1900-02-01 00:00:00,2099-02-01 00:00:00
2274,2138,OFFICE,"",1900-02-01 00:00:00,2099-02-01 00:00:00
2276,2139,OFFICE,"",1900-02-01 00:00:00,2099-02-01 00:00:00
2278,2140,OFFICE,"",1900-02-01 00:00:00,2099-02-01 00:00:00
2280,2141,OFFICE,"",1900-02-01 00:00:00,2099-02-01 00:00:00
2282,2142,OFFICE,"",1900-02-01 00:00:00,2099-02-01 00:00:00
2284,2143,OFFICE,"",1900-02-01 00:00:00,2099-02-01 00:00:00
2286,2144,OFFICE,"",1900-02-01 00:00:00,2099-02-01 00:00:00
2288,2145,OFFICE,"",1900-02-01 00:00:00,2099-02-01 00:00:00
2290,2146,OFFICE,"",1900-02-01 00:00:00,2099-02-01 00:00:00
2292,2147,OFFICE,"",1900-02-01 00:00:00,2099-02-01 00:00:00
2294,2148,OFFICE,"",1900-02-01 00:00:00,2099-02-01 00:00:00
2296,2149,OFFICE,"",1900-02-01 00:00:00,2099-02-01 00:00:00
2298,2150,OFFICE,"",1900-02-01 00:00:00,2099-02-01 00:00:00
2300,2151,OFFICE,"",1900-02-01 00:00:00,2099-02-01 00:00:00
2302,2152,OFFICE,"",1900-02-01 00:00:00,2099-02-01 00:00:00
2304,2153,OFFICE,"",1900-02-01 00:00:00,2099-02-01 00:00:00
2306,2154,OFFICE,"",1900-02-01 00:00:00,2099-02-01 00:00:00
2308,2155,OFFICE,"",1900-02-01 00:00:00,2099-02-01 00:00:00
2310,2156,OFFICE,"",1900-02-01 00:00:00,2099-02-01 00:00:00
2312,2157,OFFICE,"",1900-02-01 00:00:00,2099-02-01 00:00:00
2314,2158,OFFICE,"",1900-02-01 00:00:00,2099-02-01 00:00:00
2316,2159,OFFICE,"",1900-02-01 00:00:00,2099-02-01 00:00:00
2318,2160,OFFICE,"",1900-02-01 00:00:00,2099-02-01 00:00:00
2209,2105,DEPARTMENT,"",1900-02-01 00:00:00,2024-12-15 00:00:00
2211,2106,DEPARTMENT,"",1900-02-01 00:00:00,2024-12-15 00:00:00
2213,2107,DEPARTMENT,"",1900-02-01 00:00:00,2024-12-15 00:00:00
2215,2108,DEPARTMENT,"",1900-02-01 00:00:00,2024-12-15 00:00:00
2217,2109,DEPARTMENT,"",1900-02-01 00:00:00,2024-12-15 00:00:00
2219,2110,DEPARTMENT,"",1900-02-01 00:00:00,2024-12-15 00:00:00
2221,2111,DEPARTMENT,"",1900-02-01 00:00:00,2024-12-15 00:00:00
2223,2112,DEPARTMENT,"",1900-02-01 00:00:00,2024-12-15 00:00:00
2225,2113,DEPARTMENT,"",1900-02-01 00:00:00,2024-12-15 00:00:00
2229,2115,DEPARTMENT,"",1900-02-01 00:00:00,2024-12-15 00:00:00
2231,2116,DEPARTMENT,"",1900-02-01 00:00:00,2024-12-15 00:00:00
2233,2117,DEPARTMENT,"",1900-02-01 00:00:00,2024-12-15 00:00:00
2235,2118,DEPARTMENT,"",1900-02-01 00:00:00,2024-12-15 00:00:00
2237,2119,DEPARTMENT,"",1900-02-01 00:00:00,2024-12-15 00:00:00
2239,2120,DEPARTMENT,"",1900-02-01 00:00:00,2024-12-15 00:00:00
2241,2121,DEPARTMENT,"",1900-02-01 00:00:00,2024-12-15 00:00:00
2243,2122,DEPARTMENT,"",1900-02-01 00:00:00,2024-12-15 00:00:00
2245,2123,DEPARTMENT,"",1900-02-01 00:00:00,2024-12-15 00:00:00
2247,2124,DEPARTMENT,"",1900-02-01 00:00:00,2024-12-15 00:00:00
2249,2125,DEPARTMENT,"",1900-02-01 00:00:00,2024-12-15 00:00:00
2251,2126,DEPARTMENT,"",1900-02-01 00:00:00,2024-12-15 00:00:00
2253,2127,DEPARTMENT,"",1900-02-01 00:00:00,2024-12-15 00:00:00
2255,2128,DEPARTMENT,"",1900-02-01 00:00:00,2024-12-15 00:00:00
2257,2129,DEPARTMENT,"",1900-02-01 00:00:00,2024-12-15 00:00:00
2259,2130,DEPARTMENT,"",1900-02-01 00:00:00,2024-12-15 00:00:00
2261,2131,DEPARTMENT,"",1900-02-01 00:00:00,2024-12-15 00:00:00
2263,2132,DEPARTMENT,"",1900-02-01 00:00:00,2024-12-15 00:00:00
2267,2134,DEPARTMENT,"",1900-02-01 00:00:00,2024-12-15 00:00:00
2269,2135,DEPARTMENT,"",1900-02-01 00:00:00,2024-12-15 00:00:00
2271,2136,DEPARTMENT,"",1900-02-01 00:00:00,2024-12-15 00:00:00
2273,2137,DEPARTMENT,"",1900-02-01 00:00:00,2024-12-15 00:00:00
2275,2138,DEPARTMENT,"",1900-02-01 00:00:00,2024-12-15 00:00:00
2277,2139,DEPARTMENT,"",1900-02-01 00:00:00,2024-12-15 00:00:00
2279,2140,DEPARTMENT,"",1900-02-01 00:00:00,2024-12-15 00:00:00
2281,2141,DEPARTMENT,"",1900-02-01 00:00:00,2024-12-15 00:00:00
2283,2142,DEPARTMENT,"",1900-02-01 00:00:00,2024-12-15 00:00:00
2285,2143,DEPARTMENT,"",1900-02-01 00:00:00,2024-12-15 00:00:00
2287,2144,DEPARTMENT,"",1900-02-01 00:00:00,2024-12-15 00:00:00
2289,2145,DEPARTMENT,"",1900-02-01 00:00:00,2024-12-15 00:00:00
2291,2146,DEPARTMENT,"",1900-02-01 00:00:00,2024-12-15 00:00:00
2293,2147,DEPARTMENT,"",1900-02-01 00:00:00,2024-12-15 00:00:00
2295,2148,DEPARTMENT,"",1900-02-01 00:00:00,2024-12-15 00:00:00
2297,2149,DEPARTMENT,"",1900-02-01 00:00:00,2024-12-15 00:00:00
2299,2150,DEPARTMENT,"",1900-02-01 00:00:00,2024-12-15 00:00:00
2301,2151,DEPARTMENT,"",1900-02-01 00:00:00,2024-12-15 00:00:00
2305,2153,DEPARTMENT,"",1900-02-01 00:00:00,2024-12-15 00:00:00
2307,2154,DEPARTMENT,"",1900-02-01 00:00:00,2024-12-15 00:00:00
2309,2155,DEPARTMENT,"",1900-02-01 00:00:00,2024-12-15 00:00:00
2311,2156,DEPARTMENT,"",1900-02-01 00:00:00,2024-12-15 00:00:00
2313,2157,DEPARTMENT,"",1900-02-01 00:00:00,2024-12-15 00:00:00
2315,2158,DEPARTMENT,"",1900-02-01 00:00:00,2024-12-15 00:00:00
2317,2159,DEPARTMENT,"",1900-02-01 00:00:00,2024-12-15 00:00:00
2604,2203,OFFICE,"",1900-02-01 00:00:00,2099-02-01 00:00:00
2320,2161,OFFICE,"",1900-02-01 00:00:00,2099-02-01 00:00:00
2322,2162,OFFICE,"",1900-02-01 00:00:00,2099-02-01 00:00:00
2324,2163,OFFICE,"",1900-02-01 00:00:00,2099-02-01 00:00:00
2326,2164,OFFICE,"",1900-02-01 00:00:00,2099-02-01 00:00:00
2328,2165,OFFICE,"",1900-02-01 00:00:00,2099-02-01 00:00:00
2330,2166,OFFICE,"",1900-02-01 00:00:00,2099-02-01 00:00:00
2332,2167,OFFICE,"",1900-02-01 00:00:00,2099-02-01 00:00:00
2334,2168,OFFICE,"",1900-02-01 00:00:00,2099-02-01 00:00:00
